datetime,trip_count,temp_°c,dew_point_temp_°c,rel_hum_%,wind_dir_10s_deg,wind_spd_km_h,visibility_km,stn_press_kpa,date,event_count,event_names,event_types,event_locations,maximum_event_impact,is_event,year,month,day,hour,day_of_week,day_name,is_weekend,is_rush_hour,season
2022-01-01 00:00:00,1,3.9,3.9,100.0,5.0,4.0,4.8,98.66,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,0,5,Saturday,1,0,Winter
2022-01-01 01:00:00,2,4.2,4.2,100.0,4.0,11.0,4.8,98.57,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,1,5,Saturday,1,0,Winter
2022-01-01 02:00:00,4,4.2,4.2,100.0,6.0,10.0,4.8,98.47,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,2,5,Saturday,1,0,Winter
2022-01-01 03:00:00,1,4.1,4.1,100.0,1.0,10.0,4.8,98.5,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,3,5,Saturday,1,0,Winter
2022-01-01 04:00:00,0,4.5,4.5,100.0,10.0,12.0,4.8,98.45,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,4,5,Saturday,1,0,Winter
2022-01-01 05:00:00,0,4.3,4.3,100.0,1.0,5.0,2.8,98.46,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,5,5,Saturday,1,0,Winter
2022-01-01 06:00:00,0,4.3,4.3,100.0,3.0,9.0,0.4,98.39,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,6,5,Saturday,1,0,Winter
2022-01-01 07:00:00,1,3.3,3.3,100.0,33.0,19.0,0.6,98.49,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,7,5,Saturday,1,1,Winter
2022-01-01 08:00:00,1,2.7,2.7,100.0,35.0,18.0,2.4,98.59,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,8,5,Saturday,1,1,Winter
2022-01-01 09:00:00,1,2.9,2.9,100.0,35.0,20.0,16.1,98.6,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,9,5,Saturday,1,1,Winter
2022-01-01 10:00:00,4,3.2,3.2,100.0,35.0,27.0,8.1,98.71,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,10,5,Saturday,1,0,Winter
2022-01-01 11:00:00,4,3.1,3.1,100.0,35.0,30.0,6.4,98.74,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,11,5,Saturday,1,0,Winter
2022-01-01 12:00:00,4,2.7,2.4,98.0,34.0,22.0,8.1,98.7,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,12,5,Saturday,1,0,Winter
2022-01-01 13:00:00,6,2.7,1.3,90.0,34.0,18.0,16.1,98.66,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,13,5,Saturday,1,0,Winter
2022-01-01 14:00:00,8,2.5,0.1,84.0,34.0,26.0,16.1,98.69,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,14,5,Saturday,1,0,Winter
2022-01-01 15:00:00,6,1.9,-1.1,80.0,35.0,31.0,16.1,98.77,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,15,5,Saturday,1,0,Winter
2022-01-01 16:00:00,6,1.6,-1.6,79.0,35.0,27.0,24.1,98.71,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,16,5,Saturday,1,1,Winter
2022-01-01 17:00:00,6,1.1,-2.3,78.0,36.0,23.0,24.1,98.78,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,17,5,Saturday,1,1,Winter
2022-01-01 18:00:00,5,0.9,-2.0,81.0,1.0,19.0,24.1,98.78,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,18,5,Saturday,1,1,Winter
2022-01-01 19:00:00,3,0.4,-2.3,82.0,36.0,26.0,24.1,98.84,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,19,5,Saturday,1,0,Winter
2022-01-01 20:00:00,0,-0.6,-2.6,86.0,36.0,27.0,6.4,98.84,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,20,5,Saturday,1,0,Winter
2022-01-01 21:00:00,1,-1.1,-2.0,94.0,35.0,24.0,1.6,98.79,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,21,5,Saturday,1,0,Winter
2022-01-01 22:00:00,0,-1.5,-2.1,96.0,35.0,24.0,3.2,98.8,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,22,5,Saturday,1,0,Winter
2022-01-01 23:00:00,1,-2.5,-3.6,92.0,36.0,27.0,4.0,98.82,2022-01-01,1,New Year's Day,Public Holiday,Toronto,3,1,2022,1,1,23,5,Saturday,1,0,Winter
2022-01-02 00:00:00,0,-2.8,-4.4,89.0,36.0,19.0,4.8,98.85,2022-01-02,0,No Event,No Event,No Event,0,0,2022,1,2,0,6,Sunday,1,0,Winter
2022-01-02 01:00:00,0,-3.1,-4.8,88.0,1.0,20.0,6.4,98.8,2022-01-02,0,No Event,No Event,No Event,0,0,2022,1,2,1,6,Sunday,1,0,Winter
2022-01-02 02:00:00,0,-3.1,-6.3,79.0,2.0,21.0,24.1,98.77,2022-01-02,0,No Event,No Event,No Event,0,0,2022,1,2,2,6,Sunday,1,0,Winter
2022-01-02 03:00:00,0,-3.3,-6.7,78.0,1.0,21.0,24.1,98.78,2022-01-02,0,No Event,No Event,No Event,0,0,2022,1,2,3,6,Sunday,1,0,Winter
2022-01-02 04:00:00,0,-4.1,-7.1,79.0,36.0,24.0,24.1,98.78,2022-01-02,0,No Event,No Event,No Event,0,0,2022,1,2,4,6,Sunday,1,0,Winter
