start_time,trip_count,date_time_lst,temp_°c,rel_hum_%,wind_spd_km_h,visibility_km,stn_press_kpa,weather
2022-01-01 00:00:00,2,2022-01-01 00:00:00,3.9,100.0,4.0,4.8,98.66,Fog
2022-01-01 01:00:00,4,2022-01-01 01:00:00,4.2,100.0,11.0,4.8,98.57,"Rain,Fog"
2022-01-01 02:00:00,8,2022-01-01 02:00:00,4.2,100.0,10.0,4.8,98.47,Fog
2022-01-01 03:00:00,2,2022-01-01 03:00:00,4.1,100.0,10.0,4.8,98.5,"Rain,Fog"
2022-01-01 04:00:00,0,2022-01-01 04:00:00,4.5,100.0,12.0,4.8,98.45,Fog
2022-01-01 05:00:00,0,2022-01-01 05:00:00,4.3,100.0,5.0,2.8,98.46,"Drizzle,Fog"
2022-01-01 06:00:00,0,2022-01-01 06:00:00,4.3,100.0,9.0,0.4,98.39,"Drizzle,Fog"
2022-01-01 07:00:00,2,2022-01-01 07:00:00,3.3,100.0,19.0,0.6,98.49,"Drizzle,Fog"
2022-01-01 08:00:00,2,2022-01-01 08:00:00,2.7,100.0,18.0,2.4,98.59,"Drizzle,Fog"
2022-01-01 09:00:00,2,2022-01-01 09:00:00,2.9,100.0,20.0,16.1,98.6,Unknown
2022-01-01 10:00:00,8,2022-01-01 10:00:00,3.2,100.0,27.0,8.1,98.71,Fog
2022-01-01 11:00:00,8,2022-01-01 11:00:00,3.1,100.0,30.0,6.4,98.74,Fog
2022-01-01 12:00:00,8,2022-01-01 12:00:00,2.7,98.0,22.0,8.1,98.7,Fog
2022-01-01 13:00:00,12,2022-01-01 13:00:00,2.7,90.0,18.0,16.1,98.66,Cloudy
2022-01-01 14:00:00,16,2022-01-01 14:00:00,2.5,84.0,26.0,16.1,98.69,Unknown
2022-01-01 15:00:00,12,2022-01-01 15:00:00,1.9,80.0,31.0,16.1,98.77,Unknown
2022-01-01 16:00:00,12,2022-01-01 16:00:00,1.6,79.0,27.0,24.1,98.71,Cloudy
2022-01-01 17:00:00,12,2022-01-01 17:00:00,1.1,78.0,23.0,24.1,98.78,Unknown
2022-01-01 18:00:00,10,2022-01-01 18:00:00,0.9,81.0,19.0,24.1,98.78,Unknown
2022-01-01 19:00:00,6,2022-01-01 19:00:00,0.4,82.0,26.0,24.1,98.84,Cloudy
2022-01-01 20:00:00,0,2022-01-01 20:00:00,-0.6,86.0,27.0,6.4,98.84,Snow
2022-01-01 21:00:00,2,2022-01-01 21:00:00,-1.1,94.0,24.0,1.6,98.79,Snow
2022-01-01 22:00:00,0,2022-01-01 22:00:00,-1.5,96.0,24.0,3.2,98.8,Snow
2022-01-01 23:00:00,2,2022-01-01 23:00:00,-2.5,92.0,27.0,4.0,98.82,Snow
2022-01-02 00:00:00,0,2022-01-02 00:00:00,-2.8,89.0,19.0,4.8,98.85,Snow
2022-01-02 01:00:00,0,2022-01-02 01:00:00,-3.1,88.0,20.0,6.4,98.8,Snow
2022-01-02 02:00:00,0,2022-01-02 02:00:00,-3.1,79.0,21.0,24.1,98.77,Unknown
2022-01-02 03:00:00,0,2022-01-02 03:00:00,-3.3,78.0,21.0,24.1,98.78,Unknown
2022-01-02 04:00:00,0,2022-01-02 04:00:00,-4.1,79.0,24.0,24.1,98.78,Cloudy
2022-01-02 05:00:00,0,2022-01-02 05:00:00,-4.7,77.0,31.0,24.1,98.81,Unknown
