longitude,latitude,station_name,date_time_lst,year,month,day,time_lst,temp_°c,dew_point_temp_°c,rel_hum_%,wind_dir_10s_deg,wind_spd_km_h,visibility_km,stn_press_kpa,weather
-79.63,43.68,TORONTO INTL A,2021-01-01 00:00:00,2021,1,1,00:00,-2.4,-6.4,74.0,27.0,3.0,24.1,100.93,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 01:00:00,2021,1,1,01:00,-1.9,-6.2,72.0,15.0,3.0,24.1,100.93,Clear
-79.63,43.68,TORONTO INTL A,2021-01-01 02:00:00,2021,1,1,02:00,-2.3,-6.2,75.0,18.0,5.0,24.1,100.95,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 03:00:00,2021,1,1,03:00,-3.5,-6.1,82.0,26.0,4.0,24.1,101.03,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 04:00:00,2021,1,1,04:00,-3.2,-5.7,83.0,26.0,5.0,24.1,101.02,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,2021-01-01 05:00:00,2021,1,1,05:00,-2.5,-5.5,80.0,2.0,10.0,24.1,100.89,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 07:00:00,2021,1,1,07:00,-2.2,-4.5,84.0,3.0,3.0,24.1,100.93,Cloudy
-79.63,43.68,TORONTO INTL A,2021-01-01 09:00:00,2021,1,1,09:00,-0.3,-4.2,75.0,6.0,8.0,24.1,100.93,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 10:00:00,2021,1,1,10:00,0.4,-4.5,70.0,8.0,11.0,24.1,100.82,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,2021-01-01 11:00:00,2021,1,1,11:00,0.8,-4.9,66.0,11.0,18.0,24.1,100.74,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 12:00:00,2021,1,1,12:00,1.2,-4.5,66.0,11.0,16.0,24.1,100.55,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 13:00:00,2021,1,1,13:00,1.4,-4.9,63.0,11.0,22.0,24.1,100.42,Cloudy
-79.63,43.68,TORONTO INTL A,2021-01-01 14:00:00,2021,1,1,14:00,1.4,-4.4,65.0,9.0,20.0,24.1,100.17,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 15:00:00,2021,1,1,15:00,1.5,-3.9,67.0,11.0,27.0,24.1,100.1,Unknown
-79.63,43.68,TORONTO INTL A,2021-01-01 16:00:00,2021,1,1,16:00,1.5,-3.3,70.0,12.0,28.0,24.1,100.05,Cloudy
-79.63,43.68,TORONTO INTL A,2021-01-01 17:00:00,2021,1,1,17:00,1.5,-3.4,70.0,10.0,23.0,16.1,99.93,Snow
-79.63,43.68,TORONTO INTL A,2021-01-01 18:00:00,2021,1,1,18:00,-0.1,-0.7,95.0,11.0,12.0,2.4,99.75,Snow
-79.63,43.68,TORONTO INTL A,2021-01-01 19:00:00,2021,1,1,19:00,-0.1,-0.7,96.0,10.0,21.0,2.8,99.58,Snow
-79.63,43.68,TORONTO INTL A,2021-01-01 20:00:00,2021,1,1,20:00,0.0,-0.5,96.0,10.0,22.0,3.2,99.4,Snow
-79.63,43.68,TORONTO INTL A,2021-01-01 21:00:00,2021,1,1,21:00,0.3,-0.2,96.0,10.0,21.0,6.4,99.28,"Freezing Drizzle,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-01 22:00:00,2021,1,1,22:00,0.6,0.2,98.0,8.0,22.0,4.8,99.04,"Drizzle,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-01 23:00:00,2021,1,1,23:00,0.8,0.5,98.0,7.0,23.0,4.8,98.86,"Drizzle,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-02 00:00:00,2021,1,2,00:00,1.1,0.8,98.0,8.0,19.0,4.8,98.68,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-02 01:00:00,2021,1,2,01:00,1.0,0.6,98.0,3.0,15.0,6.4,98.6,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-02 02:00:00,2021,1,2,02:00,0.7,0.4,98.0,4.0,10.0,8.1,98.52,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-02 03:00:00,2021,1,2,03:00,0.5,0.1,98.0,36.0,13.0,8.1,98.49,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,2021-01-02 04:00:00,2021,1,2,04:00,-0.4,-0.8,98.0,34.0,22.0,1.6,98.58,Snow
-79.63,43.68,TORONTO INTL A,2021-01-02 05:00:00,2021,1,2,05:00,-1.0,-1.6,96.0,35.0,26.0,2.4,98.67,Snow
