event_date,event_name,event_type,location,impact_level,year,month,day_of_week,is_event,day_name
2021-01-01,New Year's Day,Public Holiday,Toronto,High,2021,1,Friday,1,Friday
2021-02-15,Family Day,Public Holiday,Toronto,High,2021,2,Monday,1,Monday
2021-04-02,Good Friday,Public Holiday,Toronto,High,2021,4,Friday,1,Friday
2021-05-24,Victoria Day,Public Holiday,Toronto,High,2021,5,Monday,1,Monday
2021-07-01,Canada Day,Public Holiday,Toronto,High,2021,7,Thursday,1,Thursday
2021-09-06,Labour Day,Public Holiday,Toronto,High,2021,9,Monday,1,Monday
2021-10-11,Thanksgiving,Public Holiday,Toronto,High,2021,10,Monday,1,Monday
2021-12-25,Christmas Day,Public Holiday,Toronto,High,2021,12,Saturday,1,Saturday
2021-12-26,Boxing Day,Public Holiday,Toronto,High,2021,12,Sunday,1,Sunday
2022-01-01,New Year's Day,Public Holiday,Toronto,High,2022,1,Saturday,1,Saturday
2022-02-21,Family Day,Public Holiday,Toronto,High,2022,2,Monday,1,Monday
2022-04-15,Good Friday,Public Holiday,Toronto,High,2022,4,Friday,1,Friday
2022-05-23,Victoria Day,Public Holiday,Toronto,High,2022,5,Monday,1,Monday
2022-07-01,Canada Day,Public Holiday,Toronto,High,2022,7,Friday,1,Friday
2022-09-05,Labour Day,Public Holiday,Toronto,High,2022,9,Monday,1,Monday
2022-10-10,Thanksgiving,Public Holiday,Toronto,High,2022,10,Monday,1,Monday
2022-12-25,Christmas Day,Public Holiday,Toronto,High,2022,12,Sunday,1,Sunday
2022-12-26,Boxing Day,Public Holiday,Toronto,High,2022,12,Monday,1,Monday
2023-01-01,New Year's Day,Public Holiday,Toronto,High,2023,1,Sunday,1,Sunday
2023-02-20,Family Day,Public Holiday,Toronto,High,2023,2,Monday,1,Monday
2023-04-07,Good Friday,Public Holiday,Toronto,High,2023,4,Friday,1,Friday
2023-05-22,Victoria Day,Public Holiday,Toronto,High,2023,5,Monday,1,Monday
2023-07-01,Canada Day,Public Holiday,Toronto,High,2023,7,Saturday,1,Saturday
2023-09-04,Labour Day,Public Holiday,Toronto,High,2023,9,Monday,1,Monday
2023-10-09,Thanksgiving,Public Holiday,Toronto,High,2023,10,Monday,1,Monday
2023-12-25,Christmas Day,Public Holiday,Toronto,High,2023,12,Monday,1,Monday
2023-12-26,Boxing Day,Public Holiday,Toronto,High,2023,12,Tuesday,1,Tuesday
2024-01-01,New Year's Day,Public Holiday,Toronto,High,2024,1,Monday,1,Monday
2024-02-19,Family Day,Public Holiday,Toronto,High,2024,2,Monday,1,Monday
2024-03-29,Good Friday,Public Holiday,Toronto,High,2024,3,Friday,1,Friday
2024-05-20,Victoria Day,Public Holiday,Toronto,High,2024,5,Monday,1,Monday
2024-07-01,Canada Day,Public Holiday,Toronto,High,2024,7,Monday,1,Monday
2024-09-02,Labour Day,Public Holiday,Toronto,High,2024,9,Monday,1,Monday
