Feature,Importance
lag_1,779.8146775864939
hour_sin,66.70921448076464
lag_24,59.22078713729469
lag_168,44.727675416494115
hour_cos,41.547112635189634
hour,37.137191702093055
temperature_c,34.508251774328606
relative_humidity,18.57019302659421
day_of_week_number,14.63666769913342
rolling_std_24,11.221977817467689
lag_3,9.796751257048522
weekday_sin,8.875855588146049
rolling_mean_6,8.770141156390299
lag_2,6.136461460834596
visibility_km,4.309540183744195
wind_direction,3.5524264030943415
dew_point_c,2.009863290499408
station_pressure_kpa,1.8857980707309197
rolling_mean_168,1.0347592808721742
month_cos,0.6678346671751569
wind_speed_kmh,0.6034956343644751
weekday_cos,0.46880806623129845
maximum_event_impact,0.3848118250741607
lag_48,0.21508619255243958
is_event,0.04177844473232426
month_sin,0.012269080734984072
is_weekend,0.0
event_count,0.0
month,-0.1984764171775339
rolling_mean_24,-0.7372383688539628
rolling_mean_3,-1.1793353534021833
