hour_timestamp,trip_count,year,month,day,hour,day_of_week,day_of_week_number,is_weekend
2021-01-01 00:00:00,79.0,2021,1,1,0,Friday,4,0
2021-01-01 01:00:00,56.0,2021,1,1,1,Friday,4,0
2021-01-01 02:00:00,28.0,2021,1,1,2,Friday,4,0
2021-01-01 03:00:00,14.0,2021,1,1,3,Friday,4,0
2021-01-01 04:00:00,18.0,2021,1,1,4,Friday,4,0
2021-01-01 05:00:00,6.0,2021,1,1,5,Friday,4,0
2021-01-01 06:00:00,26.0,2021,1,1,6,Friday,4,0
2021-01-01 07:00:00,35.0,2021,1,1,7,Friday,4,0
2021-01-01 08:00:00,42.0,2021,1,1,8,Friday,4,0
2021-01-01 09:00:00,47.0,2021,1,1,9,Friday,4,0
2021-01-01 10:00:00,67.0,2021,1,1,10,Friday,4,0
2021-01-01 11:00:00,110.0,2021,1,1,11,Friday,4,0
2021-01-01 12:00:00,131.0,2021,1,1,12,Friday,4,0
2021-01-01 13:00:00,191.0,2021,1,1,13,Friday,4,0
2021-01-01 14:00:00,209.0,2021,1,1,14,Friday,4,0
2021-01-01 15:00:00,244.0,2021,1,1,15,Friday,4,0
2021-01-01 16:00:00,206.0,2021,1,1,16,Friday,4,0
2021-01-01 17:00:00,106.0,2021,1,1,17,Friday,4,0
2021-01-01 18:00:00,78.0,2021,1,1,18,Friday,4,0
2021-01-01 19:00:00,38.0,2021,1,1,19,Friday,4,0
2021-01-01 20:00:00,17.0,2021,1,1,20,Friday,4,0
2021-01-01 21:00:00,15.0,2021,1,1,21,Friday,4,0
2021-01-01 22:00:00,22.0,2021,1,1,22,Friday,4,0
2021-01-01 23:00:00,19.0,2021,1,1,23,Friday,4,0
2021-01-02 00:00:00,6.0,2021,1,2,0,Saturday,5,1
2021-01-02 01:00:00,2.0,2021,1,2,1,Saturday,5,1
2021-01-02 02:00:00,2.0,2021,1,2,2,Saturday,5,1
2021-01-02 03:00:00,2.0,2021,1,2,3,Saturday,5,1
2021-01-02 04:00:00,0.0,2021,1,2,4,Saturday,5,1
2021-01-02 05:00:00,6.0,2021,1,2,5,Saturday,5,1
2021-01-02 06:00:00,7.0,2021,1,2,6,Saturday,5,1
2021-01-02 07:00:00,16.0,2021,1,2,7,Saturday,5,1
2021-01-02 08:00:00,30.0,2021,1,2,8,Saturday,5,1
2021-01-02 09:00:00,43.0,2021,1,2,9,Saturday,5,1
2021-01-02 10:00:00,74.0,2021,1,2,10,Saturday,5,1
2021-01-02 11:00:00,98.0,2021,1,2,11,Saturday,5,1
2021-01-02 12:00:00,102.0,2021,1,2,12,Saturday,5,1
2021-01-02 13:00:00,147.0,2021,1,2,13,Saturday,5,1
2021-01-02 14:00:00,177.0,2021,1,2,14,Saturday,5,1
2021-01-02 15:00:00,203.0,2021,1,2,15,Saturday,5,1
2021-01-02 16:00:00,190.0,2021,1,2,16,Saturday,5,1
2021-01-02 17:00:00,175.0,2021,1,2,17,Saturday,5,1
2021-01-02 18:00:00,159.0,2021,1,2,18,Saturday,5,1
2021-01-02 19:00:00,119.0,2021,1,2,19,Saturday,5,1
2021-01-02 20:00:00,104.0,2021,1,2,20,Saturday,5,1
2021-01-02 21:00:00,95.0,2021,1,2,21,Saturday,5,1
2021-01-02 22:00:00,76.0,2021,1,2,22,Saturday,5,1
2021-01-02 23:00:00,73.0,2021,1,2,23,Saturday,5,1
2021-01-03 00:00:00,51.0,2021,1,3,0,Sunday,6,1
2021-01-03 01:00:00,49.0,2021,1,3,1,Sunday,6,1
2021-01-03 02:00:00,7.0,2021,1,3,2,Sunday,6,1
2021-01-03 03:00:00,9.0,2021,1,3,3,Sunday,6,1
2021-01-03 04:00:00,15.0,2021,1,3,4,Sunday,6,1
2021-01-03 05:00:00,11.0,2021,1,3,5,Sunday,6,1
2021-01-03 06:00:00,18.0,2021,1,3,6,Sunday,6,1
2021-01-03 07:00:00,34.0,2021,1,3,7,Sunday,6,1
2021-01-03 08:00:00,43.0,2021,1,3,8,Sunday,6,1
2021-01-03 09:00:00,71.0,2021,1,3,9,Sunday,6,1
2021-01-03 10:00:00,76.0,2021,1,3,10,Sunday,6,1
2021-01-03 11:00:00,84.0,2021,1,3,11,Sunday,6,1
2021-01-03 12:00:00,84.0,2021,1,3,12,Sunday,6,1
2021-01-03 13:00:00,116.0,2021,1,3,13,Sunday,6,1
2021-01-03 14:00:00,132.0,2021,1,3,14,Sunday,6,1
2021-01-03 15:00:00,190.0,2021,1,3,15,Sunday,6,1
2021-01-03 16:00:00,218.0,2021,1,3,16,Sunday,6,1
2021-01-03 17:00:00,172.0,2021,1,3,17,Sunday,6,1
2021-01-03 18:00:00,133.0,2021,1,3,18,Sunday,6,1
2021-01-03 19:00:00,130.0,2021,1,3,19,Sunday,6,1
2021-01-03 20:00:00,92.0,2021,1,3,20,Sunday,6,1
2021-01-03 21:00:00,113.0,2021,1,3,21,Sunday,6,1
2021-01-03 22:00:00,59.0,2021,1,3,22,Sunday,6,1
2021-01-03 23:00:00,34.0,2021,1,3,23,Sunday,6,1
2021-01-04 00:00:00,10.0,2021,1,4,0,Monday,0,0
2021-01-04 01:00:00,10.0,2021,1,4,1,Monday,0,0
2021-01-04 02:00:00,7.0,2021,1,4,2,Monday,0,0
2021-01-04 03:00:00,7.0,2021,1,4,3,Monday,0,0
2021-01-04 04:00:00,4.0,2021,1,4,4,Monday,0,0
2021-01-04 05:00:00,17.0,2021,1,4,5,Monday,0,0
2021-01-04 06:00:00,62.0,2021,1,4,6,Monday,0,0
2021-01-04 07:00:00,118.0,2021,1,4,7,Monday,0,0
2021-01-04 08:00:00,208.0,2021,1,4,8,Monday,0,0
2021-01-04 09:00:00,121.0,2021,1,4,9,Monday,0,0
2021-01-04 10:00:00,123.0,2021,1,4,10,Monday,0,0
2021-01-04 11:00:00,140.0,2021,1,4,11,Monday,0,0
2021-01-04 12:00:00,178.0,2021,1,4,12,Monday,0,0
2021-01-04 13:00:00,190.0,2021,1,4,13,Monday,0,0
2021-01-04 14:00:00,179.0,2021,1,4,14,Monday,0,0
2021-01-04 15:00:00,223.0,2021,1,4,15,Monday,0,0
2021-01-04 16:00:00,311.0,2021,1,4,16,Monday,0,0
2021-01-04 17:00:00,315.0,2021,1,4,17,Monday,0,0
2021-01-04 18:00:00,254.0,2021,1,4,18,Monday,0,0
2021-01-04 19:00:00,198.0,2021,1,4,19,Monday,0,0
2021-01-04 20:00:00,175.0,2021,1,4,20,Monday,0,0
2021-01-04 21:00:00,93.0,2021,1,4,21,Monday,0,0
2021-01-04 22:00:00,62.0,2021,1,4,22,Monday,0,0
2021-01-04 23:00:00,49.0,2021,1,4,23,Monday,0,0
2021-01-05 00:00:00,26.0,2021,1,5,0,Tuesday,1,0
2021-01-05 01:00:00,13.0,2021,1,5,1,Tuesday,1,0
2021-01-05 02:00:00,8.0,2021,1,5,2,Tuesday,1,0
2021-01-05 03:00:00,11.0,2021,1,5,3,Tuesday,1,0
2021-01-05 04:00:00,6.0,2021,1,5,4,Tuesday,1,0
2021-01-05 05:00:00,17.0,2021,1,5,5,Tuesday,1,0
2021-01-05 06:00:00,56.0,2021,1,5,6,Tuesday,1,0
2021-01-05 07:00:00,128.0,2021,1,5,7,Tuesday,1,0
2021-01-05 08:00:00,189.0,2021,1,5,8,Tuesday,1,0
2021-01-05 09:00:00,108.0,2021,1,5,9,Tuesday,1,0
2021-01-05 10:00:00,135.0,2021,1,5,10,Tuesday,1,0
2021-01-05 11:00:00,121.0,2021,1,5,11,Tuesday,1,0
2021-01-05 12:00:00,209.0,2021,1,5,12,Tuesday,1,0
2021-01-05 13:00:00,168.0,2021,1,5,13,Tuesday,1,0
2021-01-05 14:00:00,170.0,2021,1,5,14,Tuesday,1,0
2021-01-05 15:00:00,169.0,2021,1,5,15,Tuesday,1,0
2021-01-05 16:00:00,247.0,2021,1,5,16,Tuesday,1,0
2021-01-05 17:00:00,270.0,2021,1,5,17,Tuesday,1,0
2021-01-05 18:00:00,235.0,2021,1,5,18,Tuesday,1,0
2021-01-05 19:00:00,167.0,2021,1,5,19,Tuesday,1,0
2021-01-05 20:00:00,135.0,2021,1,5,20,Tuesday,1,0
2021-01-05 21:00:00,123.0,2021,1,5,21,Tuesday,1,0
2021-01-05 22:00:00,66.0,2021,1,5,22,Tuesday,1,0
2021-01-05 23:00:00,39.0,2021,1,5,23,Tuesday,1,0
2021-01-06 00:00:00,21.0,2021,1,6,0,Wednesday,2,0
