Station,Datetime,Departures,Arrivals,Net_Flow,Risk_Type,Estimated_Bikes_To_Move,Rebalancing_Direction,Priority_Score,Priority_Level
King St W / Bay St (West Side),2024-05-23 09:00:00,0,11,11,Overflow Risk,11,Remove bikes from station,27.333973147668004,High
King St W / Bay St (West Side),2024-05-30 09:00:00,0,11,11,Overflow Risk,11,Remove bikes from station,27.333973147668004,High
King St W / Bay St (West Side),2024-04-16 09:00:00,0,11,11,Overflow Risk,11,Remove bikes from station,27.333973147668004,High
King St W / Bay St (West Side),2024-06-12 08:00:00,0,11,11,Overflow Risk,11,Remove bikes from station,27.333973147668004,High
King St W / Bay St (West Side),2024-05-29 08:00:00,0,9,9,Overflow Risk,9,Remove bikes from station,20.723265836946414,High
King St W / Bay St (West Side),2024-05-06 08:00:00,0,8,8,Overflow Risk,8,Remove bikes from station,17.577796618689757,High
King St W / Bay St (West Side),2024-03-05 08:00:00,0,8,8,Overflow Risk,8,Remove bikes from station,17.577796618689757,High
King St W / Bay St (West Side),2024-05-28 08:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-03-12 09:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-05-16 08:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-04-09 08:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-04-23 09:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-05-08 08:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-05-21 08:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
King St W / Bay St (West Side),2024-05-29 09:00:00,0,7,7,Overflow Risk,7,Remove bikes from station,14.55609079175885,High
Centre Island Ferry Dock,2025-06-29 19:00:00,1,7,6,Overflow Risk,6,Remove bikes from station,13.183347464017316,High
Centre Island Ferry Dock,2025-05-19 16:00:00,3,8,5,Overflow Risk,5,Remove bikes from station,12.424533248940001,High
King St W / Bay St (West Side),2024-02-08 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-22 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-23 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-22 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-27 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-09 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-04-30 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-03-27 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Temperance St Station,2024-05-29 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-03-14 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-02-06 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Temperance St Station,2024-06-06 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Strachan Ave / East Liberty St - SMART,2024-05-21 18:00:00,6,0,-6,Shortage Risk,6,Deliver bikes to station,11.675460894331879,High
King St W / Bay St (West Side),2024-02-28 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-06-06 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Lake Shore Blvd W / Ontario Dr,2022-05-23 18:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
York St / Queens Quay W,2024-05-31 20:00:00,6,0,-6,Shortage Risk,6,Deliver bikes to station,11.675460894331879,High
Northern Dancer Blvd / Lake Shore Blvd E,2024-05-20 21:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Ontario Place Blvd / Lake Shore Blvd W (East),2022-08-31 22:00:00,6,0,-6,Shortage Risk,6,Deliver bikes to station,11.675460894331879,High
King St W / Bay St (West Side),2024-04-09 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2025-12-09 08:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
King St W / Bay St (West Side),2024-05-28 09:00:00,0,6,6,Overflow Risk,6,Remove bikes from station,11.675460894331879,High
Centre Island,2025-08-30 19:00:00,2,7,5,Overflow Risk,5,Remove bikes from station,11.51292546497023,High
Centre Island Ferry Dock,2025-06-29 18:00:00,6,1,-5,Shortage Risk,5,Deliver bikes to station,10.39720770839918,High
Centre Island Ferry Dock,2025-06-15 13:00:00,6,1,-5,Shortage Risk,5,Deliver bikes to station,10.39720770839918,High
Centre Island Ferry Dock,2025-05-19 15:00:00,6,1,-5,Shortage Risk,5,Deliver bikes to station,10.39720770839918,High
Centre Island Ferry Dock,2025-07-21 13:00:00,6,1,-5,Shortage Risk,5,Deliver bikes to station,10.39720770839918,High
King St W / Bay St (West Side),2024-06-12 17:00:00,6,1,-5,Shortage Risk,5,Deliver bikes to station,10.39720770839918,High
King St W / Bay St (West Side),2024-01-08 09:00:00,1,6,5,Overflow Risk,5,Remove bikes from station,10.39720770839918,High
King St W / Bay St (West Side),2024-02-26 08:00:00,1,6,5,Overflow Risk,5,Remove bikes from station,10.39720770839918,High
Ontario Place Blvd / Lake Shore Blvd W,2025-08-28 22:00:00,7,3,-4,Shortage Risk,4,Deliver bikes to station,9.591581091193483,High
Centre Island Ferry Dock,2025-07-15 16:00:00,7,3,-4,Shortage Risk,4,Deliver bikes to station,9.591581091193483,High
Centre Island Ferry Dock,2025-08-23 13:00:00,3,7,4,Overflow Risk,4,Remove bikes from station,9.591581091193483,High
Centre Island Ferry Dock,2025-05-17 17:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Dundas St W / Crawford St,2024-06-08 14:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Wellington St W / Bay St,2024-04-10 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Centre Island Ferry Dock,2025-08-27 19:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
University Ave / Gerrard St W (East Side),2024-05-28 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Dundas St W / Crawford St,2024-06-07 17:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
University Ave / Gerrard St W (East Side),2024-02-27 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
HTO Park (Queens Quay W),2024-06-13 18:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-02-01 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Centre Island,2025-08-02 19:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-02-06 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Temperance St Station,2024-06-13 17:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
