Hour,Station_Hours,Risk_Hours,Average_Imbalance,Failure_Rate
0,59,3,0.8305084745762712,0.05084745762711865
1,31,0,0.5161290322580645,0.0
2,21,1,0.7619047619047619,0.047619047619047616
3,9,0,0.3333333333333333,0.0
4,1,0,1.0,0.0
5,8,0,0.5,0.0
6,36,2,0.7222222222222222,0.05555555555555555
7,184,35,1.048913043478261,0.19021739130434784
8,956,212,1.284518828451883,0.2217573221757322
9,554,129,1.4277978339350181,0.2328519855595668
10,289,31,0.9342560553633218,0.10726643598615918
11,381,37,0.9553805774278216,0.09711286089238845
12,561,52,0.9411764705882353,0.09269162210338681
13,655,65,0.9740458015267176,0.09923664122137404
14,781,79,1.0115236875800255,0.10115236875800256
15,923,89,0.9880823401950163,0.09642470205850487
16,1481,144,1.0175557056043214,0.09723160027008777
17,2482,321,1.0709105560032233,0.12933118452860595
18,1912,205,1.0570083682008369,0.10721757322175732
19,1226,127,1.0546492659053834,0.10358890701468189
20,787,59,0.9720457433290979,0.07496823379923762
21,480,29,0.9,0.06041666666666667
22,312,28,0.9294871794871795,0.08974358974358974
23,226,28,0.9557522123893806,0.12389380530973451
