Month,Station_Hours,Risk_Hours,Average_Imbalance,Failure_Rate
1,237,31,1.0506329113924051,0.1308016877637131
2,285,72,1.4736842105263157,0.25263157894736843
3,541,97,1.22181146025878,0.17929759704251386
4,1079,163,1.170528266913809,0.15106580166821132
5,2838,515,1.2977448907681466,0.1814658210007047
6,2996,364,1.0664218958611482,0.12149532710280374
7,2925,124,0.7962393162393162,0.0423931623931624
8,2748,171,0.8300582241630277,0.06222707423580786
9,441,71,1.2222222222222223,0.16099773242630386
10,208,37,1.2596153846153846,0.1778846153846154
11,4,3,2.75,0.75
12,53,28,2.2264150943396226,0.5283018867924528
