,pickups,returns,imbalance,total_activity
Bay St / Wellesley St W,2745.0,2114.0,631.0,4859.0
Dundonald St / Church St,1126.0,730.0,396.0,1856.0
Sherbourne St / Wellesley St E,1548.0,1252.0,296.0,2800.0
Charles St W / Balmuto St - SMART,1900.0,1627.0,273.0,3527.0
Isabella St / Church St,1465.0,1199.0,266.0,2664.0
20 Charles St E,1147.0,902.0,245.0,2049.0
Bleecker St / St James Ave,979.0,754.0,225.0,1733.0
Spadina Ave / Harbord St - SMART,2077.0,1864.0,213.0,3941.0
Jarvis St / Isabella St,860.0,656.0,204.0,1516.0
Bloor St W / Manning Ave - SMART,1721.0,1538.0,183.0,3259.0
Ted Rogers Way / Bloor St E,1008.0,834.0,174.0,1842.0
St Joseph St / Bay St - SMART,664.0,492.0,172.0,1156.0
Bay St / Charles St - SMART,568.0,398.0,170.0,966.0
Dalton Rd / Bloor St W,1347.0,1182.0,165.0,2529.0
439 Sherbourne St,1019.0,856.0,163.0,1875.0
Church St / Bloor St E,1331.0,1171.0,160.0,2502.0
Charles St E / Jarvis St - SMART,874.0,718.0,156.0,1592.0
St. George St / Bloor St W,2128.0,1987.0,141.0,4115.0
Spadina Ave / Sussex Ave - SMART,392.0,252.0,140.0,644.0
Church St  / Wood St,2080.0,1942.0,138.0,4022.0
Spadina Ave / Sussex Ave,291.0,154.0,137.0,445.0
College St / Major St,2793.0,2663.0,130.0,5456.0
Spadina Ave / Blue Jays Way,1124.0,1002.0,122.0,2126.0
College Park - Yonge St Entrance,2332.0,2211.0,121.0,4543.0
365 Lippincott St,698.0,580.0,118.0,1278.0
Front St W / Bay St (South Side),1199.0,1082.0,117.0,2281.0
Huron/ Harbord St,698.0,584.0,114.0,1282.0
Davenport Rd / Avenue Rd,821.0,707.0,114.0,1528.0
Church St / Alexander St,1696.0,1584.0,112.0,3280.0
Granby St / Church St - SMART,1536.0,1433.0,103.0,2969.0
Lawton Blvd / Yonge St,368.0,270.0,98.0,638.0
Queen's Park / Bloor St W,1459.0,1361.0,98.0,2820.0
Richmond St E / Jarvis St Green P,561.0,467.0,94.0,1028.0
King St W / Tecumseth St,1659.0,1565.0,94.0,3224.0
Yonge St / Orchard View Blvd,587.0,493.0,94.0,1080.0
Parliament St / Gerrard St,294.0,206.0,88.0,500.0
Queen's Park Cres E / Grosvenor St - SMART,716.0,629.0,87.0,1345.0
Christie St / Benson Ave (Wychwood Barns),357.0,274.0,83.0,631.0
Sherbourne St / Isabella St,1491.0,1409.0,82.0,2900.0
Orde St / McCaul St,850.0,769.0,81.0,1619.0
St Clair Ave W / Bathurst St.,156.0,78.0,78.0,234.0
Simcoe St / Dundas St W,667.0,590.0,77.0,1257.0
Bay St / Bloor St W (West Side),800.0,724.0,76.0,1524.0
11 Spadina Rd,449.0,373.0,76.0,822.0
Wellington St W / Stafford St,1182.0,1106.0,76.0,2288.0
Gould St / Mutual St,1677.0,1602.0,75.0,3279.0
Madison Ave / Bloor St W,704.0,630.0,74.0,1334.0
Emerson Ave / Bloor St W,498.0,425.0,73.0,923.0
200 Bloor St. E.,196.0,124.0,72.0,320.0
Navy Wharf Ct. / Bremner Blvd.,538.0,466.0,72.0,1004.0
Spadina Ave / Adelaide St W,2098.0,2028.0,70.0,4126.0
King St W / Brant St,1793.0,1723.0,70.0,3516.0
College Park- Gerrard Entrance,966.0,896.0,70.0,1862.0
Mill St / Parliament St,1585.0,1516.0,69.0,3101.0
Russell Hill Rd / St Clair Ave W,130.0,62.0,68.0,192.0
161 Bleecker St (South of Wellesley),498.0,431.0,67.0,929.0
Ulster St / Bathurst St,653.0,586.0,67.0,1239.0
Danforth Ave / Lamb Ave,415.0,348.0,67.0,763.0
The Royal Ontario Museum (Bloor St Entrance),766.0,700.0,66.0,1466.0
Bathurst Subway Station,738.0,673.0,65.0,1411.0
Queen St W / Spadina Ave,1082.0,1017.0,65.0,2099.0
Yonge St / St. Clair Ave,414.0,349.0,65.0,763.0
Lower Jarvis St / Queens Quay E,1153.0,1088.0,65.0,2241.0
Woodbine Subway Station,243.0,178.0,65.0,421.0
Toronto Inukshuk Park,1290.0,1227.0,63.0,2517.0
Yonge St / St Clair Ave,296.0,234.0,62.0,530.0
Bayview Ave / Lawren Harris Square,872.0,810.0,62.0,1682.0
Davenport Rd / Christie St,330.0,268.0,62.0,598.0
Davisville Ave / Pailton Cres,165.0,104.0,61.0,269.0
Davenport Rd / Bathurst St,241.0,180.0,61.0,421.0
