Station,Observed_Hours,Total_Departures,Total_Arrivals,Average_Net_Flow,Average_Absolute_Imbalance,Risk_Hours,Failure_Rate,Reliability_Score,Risk_Rank
King St W / Bay St (West Side),309,390,930,1.7475728155339805,2.763754045307443,176,0.56957928802589,0.43042071197411,1
University Ave / Gerrard St W (East Side),128,215,268,0.4140625,1.6640625,50,0.390625,0.609375,2
Temperance St Station,146,288,301,0.08904109589041095,1.3356164383561644,35,0.23972602739726026,0.7602739726027398,3
Centre Island Ferry Dock,549,1247,1245,-0.0036429872495446266,1.530054644808743,111,0.20218579234972678,0.7978142076502732,4
Lake Shore Blvd W / Ontario Dr,109,173,204,0.28440366972477066,1.4587155963302751,22,0.2018348623853211,0.7981651376146789,5
Union Station,169,268,317,0.28994082840236685,1.1775147928994083,26,0.15384615384615385,0.8461538461538461,6
York St / Queens Quay W,362,637,652,0.04143646408839779,1.1519337016574585,51,0.1408839779005525,0.8591160220994475,7
Bay St / College St (East Side),192,356,306,-0.2604166666666667,1.125,27,0.140625,0.859375,8
Ward's Island Ferry Dock,178,359,347,-0.06741573033707865,1.2247191011235956,25,0.1404494382022472,0.8595505617977528,9
Queens Quay / Yonge St,160,276,291,0.09375,1.16875,20,0.125,0.875,10
Dundas St W / Crawford St,132,226,244,0.13636363636363635,1.0454545454545454,16,0.12121212121212122,0.8787878787878788,11
Bay St / Queens Quay W (Ferry Terminal),221,416,364,-0.23529411764705882,1.1312217194570136,26,0.11764705882352941,0.8823529411764706,12
Queen St W / John St,127,216,223,0.05511811023622047,1.062992125984252,14,0.11023622047244094,0.889763779527559,13
Bay St / Wellesley St W,126,242,202,-0.31746031746031744,0.9523809523809523,13,0.10317460317460317,0.8968253968253969,14
HTO Park (Queens Quay W),163,262,297,0.2147239263803681,1.147239263803681,16,0.09815950920245399,0.901840490797546,15
Tommy Thompson Park (Leslie Street Spit),114,197,194,-0.02631578947368421,1.1842105263157894,11,0.09649122807017543,0.9035087719298246,16
Centre Island,146,313,315,0.0136986301369863,1.2602739726027397,14,0.0958904109589041,0.904109589041096,17
College St / Major St,138,248,227,-0.15217391304347827,0.9637681159420289,13,0.09420289855072464,0.9057971014492754,18
Queens Quay W / Lower Simcoe St,119,203,191,-0.10084033613445378,1.0588235294117647,11,0.09243697478991597,0.907563025210084,19
Dundas St W / Yonge St,112,195,193,-0.017857142857142856,1.0535714285714286,10,0.08928571428571429,0.9107142857142857,20
Bathurst St/Queens Quay(Billy Bishop Airport),122,225,203,-0.18032786885245902,0.9344262295081968,9,0.07377049180327869,0.9262295081967213,21
King St W / Portland St - SMART,102,176,190,0.13725490196078433,0.8431372549019608,7,0.06862745098039216,0.9313725490196079,22
Widmer St / Adelaide St W - SMART,102,174,176,0.0196078431372549,0.9019607843137255,6,0.058823529411764705,0.9411764705882353,23
Hanlan's Point Ferry Dock,112,228,215,-0.11607142857142858,0.9732142857142857,6,0.05357142857142857,0.9464285714285714,24
Richmond St E / Yonge St,105,186,186,0.0,0.7428571428571429,5,0.047619047619047616,0.9523809523809523,25
Hanlan's Point Beach,100,178,190,0.12,0.96,3,0.03,0.97,26
